Name,Amusement Park,Type,Design,Status_x,Opened,City,Region,Country,Make,Length,Height,Speed,Inversions,Elements,Image URLs,Drop (ft),Duration,G-force,Max vertical angle,Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop,year_introduced,Location,Park section,Type_y,Manufacturer,Designer,Model,Track layout,Lift/launch system,Height,Drop_y,Length,Speed,Duration_y,Max vertical angle,Capacity,G-force,coaster_name,History,Closing date,Inversions_y,Trains,Replaced,Replaced by,General Statistics
Crazy Bats,Phantasialand,Steel – Enclosed,Sit Down,Operating,1988,Brühl,North Rhine-Westphalia,Germany,Vekoma,"3,851.7 ft (1,174.0 m)",38.4 ft (11.7 m),28.9 mph (46.5 km/h),,"['Chain Lift Hill', 'Chain Lift Hill', 'Chain Lift Hill']",[],,4:00,,,,,,,,,,1988,Phantasialand,Wuze Town,Steel – Enclosed,Vekoma,Werner Stengel,Custom MK-900,,,38.4 ft (11.7 m),,"3,851.7 ft (1,174.0 m)",28.9 mph (46.5 km/h),4:00,,1600 riders per hour,,Crazy Bats,"Opened in 1988 after 18 months of construction, the ride was originally called Space Center. It led passengers past models of rockets and emulated asteroids and the darkened hall was dimly lit with thousands of tiny spots of light resembling stars. Due to the construction of neighbouring Wuze Town in 2001, the roller coaster was redeveloped with a fantasy jungle theme and renamed Temple of the Night Hawk. The coaster is now completely dark. Until 2006 there were green moving lights and strobe lights in the first lift hill, which are still present today but not operational. In 2008, the lights on the coaster trains were turned off or broken down and have not been repaired. 
Till 2010, there was a green laser projection with the outlines of a flying hawk, and until June 2012, there were red strobe-lights at the final brake run. In 2011, the park installed new strobe lights in the first lift hill, which broke down after about two months, and never repaired. 
The ride has four trains and one spare train for repairs, each with seven cars. Each car has two rows of seats, each holding two people. During the four-minute ride, the trains are lifted by three lift hill chains covering 1.174 metres (3 ft 10.2 in) of track. The roller coaster is therefore one of the longest indoor roller coasters in the world, slightly beaten by Mindbender in Galaxyland Amusement Park, Canada. The building containing the track is around 120,000 cubic metres (4,200,000 cu ft); it rests on 180 concrete pillars buried 12 metres (39 ft) deep in the ground. The building's basement level contains the ‘'Hollywood Tour’' dark ride. The total investment for the ride was around 15 million DM.
With the redevelopment of the ride in 2001, the park tried greening the roof of the hall by installing an irrigation system, but the results were not as good as expected. As an interim solution camouflage nets were installed on the roof, which, however, were removed after the major fire in the park and the resulting stringent fire regulations.
Until 2014, the song ""The Egg Travels"" from Disney's Dinosaur was played by several speakers placed inside the hall. In the station of the roller coaster, the song ""Inner Sanctum/The Nesting Grounds"" and the intro of the song ""The End Of Our Island"" from Disney's Dinosaur were played. By 2015 these songs were replaced with custom songs produced by IMAscore.Originally, the coaster was about to be manufactured by BHS/Zierer, with linear induction motors as transport elements. After the track layout was already developed and models were created, the park finally decided to work with Vekoma and scrap the idea of linear induction motors, because of financial reasons.


== References ==",,,4 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,,
Dæmonen,Tivoli Gardens,Steel – Floorless Coaster,Sit Down,Operating,2004,Copenhagen,Hovedstaden,Denmark,Bolliger & Mabillard,"564 m (1,850 ft)",28 m (92 ft),77 km/h (48 mph),3,"['Chain Lift Hill', 'Loop', 'Immelmann', 'Zero-G Roll']",[],65.6,1:46,4,,,,,,,,20 m (66 ft),2004,Tivoli Gardens,,Steel – Floorless Coaster,Bolliger & Mabillard,,Floorless Coaster,Twister,Chain lift hill,28 m (92 ft),20 m (66 ft),"564 m (1,850 ft)",77 km/h (48 mph),1:46,,"1,200 riders per hour",4,Dæmonen,"The plans to build the roller coaster, then nameless, was announced in August 2003, to replace Slangen. The idea had been three years in the making and Tivoli had held a procurement involving four roller coaster manufactures, with Bolliger & Mabillard being chosen to build the new roller coaster. With a total cost of 75 million DKK (€10 million), the attraction was at the time Tivoli's biggest investment in modern times, and the most expensive roller coaster in Denmark. It was named Dæmonen in January 2004.Slangen, Tivoli Gardens's family roller coaster, closed on 21 September 2003 to make room for Dæmonen. Once the roller coaster was demolished, construction for the new roller coaster commenced. By the beginning of December, most of the brake run and station portions of the track were erected. By the new year, the lift hill was topped off. The first drop was completed by the end of January 2004 and the last piece of track was placed in February. It opened on 16 April that year, and was sponsored by Mazda for its first three years in operation.On 14 July 2007, Dæmonen got stuck during a ride, and the passengers would have to wait an hour before they could be released by the fire department. On 20 July 2008, the ride stopped 25 meters above the ground, and 24 passengers were evacuated via built-in stairs. The latter incident was caused by a loose connection in an electronic sensor, which triggered the emergency brakes.On 6 April 2017 an optional, up-charge virtual reality experience was added to the ride. Utilising Samsung VR headsets, the graphics depict scenes of dragons, demons, and other elements from Chinese mythology.",,3,2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,Slangen,,
Dahlonega Mine Train,Six Flags Over Georgia,Steel – Mine train,Sit Down,Operating,1967,Austell,Georgia,United States,Arrow Dynamics,"2,327 ft (709 m)",37 ft (11 m),29 mph (47 km/h),,"['Chain Lift Hill', 'Chain Lift Hill', 'Chain Lift Hill', 'Tunnel']",[],,2:51,,45°,,,,,,,,1967,Six Flags Over Georgia,Peachtree Square,Steel – Mine train,Arrow Dynamics,,Mine train,Terrain,Three chain lift hills,37 ft (11 m),,"2,327 ft (709 m)",29 mph (47 km/h),2:51,45°,2200 riders per hour,,Dahlonega Mine Train,History section not found,,,5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,,,
Daidarasaurus,Expoland,Steel – Dueling,Sit Down,Removed,1970,Suita,Osaka,Japan,Sansei Technologies,"2,340 m (7,680 ft)",28 m (92 ft),72 km/h (45 mph),0,"['Chain Lift Hill', 'Chain Lift Hill']",[],,6:33,,,,,,,,,,1970,Expoland,,Steel – Dueling,Sansei Technologies,,,,Two chain lift hills,28 m (92 ft),,"2,340 m (7,680 ft)",72 km/h (45 mph),6:33,,,,Daidarasaurus,"Daidarasaurus opened with the park in 1970, and consisted of 5 separate tracks. These were a smaller, more family scale rollercoaster, 2 racing coasters, and 2 dueling coasters, the tallest out of all of them, as the other three shared the same lower height. In 1999 the two taller dueling tracks were combined at the end of the ride to create one exceptionally long track with two lift hills. This also made it a Quasi Möbius Loop.  This effectively doubled the length of the ride. What remains in dispute is whether this actually qualified as one long coaster or back-to-back rides on the same coaster. The three other coasters were removed when this conversion happened, with the majority of their supports remaining until the whole coaster’s demolition.","December 9, 2007",0,,,,
Dania Beach Hurricane,Boomers!,Wood,Sit Down,Removed,2000,Dania,Florida,United States,"Coaster Works, Inc.","3,200 ft (980 m)",100 ft (30 m),50 mph (80 km/h),,,[],,1:50,3,60°,,,,,,,100 ft (30 m),2000,Boomers!,Cyclone World,Wood,"Coaster Works, Inc.",Stand Company,,,Chain lift hill,100 ft (30 m),100 ft (30 m),"3,200 ft (980 m)",50 mph (80 km/h),1:50,60°,,3,Dania Beach Hurricane,,26-Apr-11,,,,,
Dare Devil Dive,Six Flags Over Georgia,Steel,Sit Down,Operating,2011,Austell,Georgia,United States,Gerstlauer,"2,099 ft (640 m)",95 ft (29 m),52 mph (84 km/h),3,"['Vertical Chain Lift Hill', 'Dive Loop', 'Immelmann', 'Block Brake', 'Heartline Roll']",[],,1:40,,95°,,,,,,,,2011,Six Flags Over Georgia,USA Section,Steel,Gerstlauer,,Euro-Fighter (Custom),,Vertical chain lift hill,95 ft (29 m),,"2,099 ft (640 m)",52 mph (84 km/h),1:40,95°,,,Dare Devil Dive,"First announced on September 1, 2010, Dare Devil Dive was placed in the park's USA section, which also includes the Goliath roller coaster. The park demolished its long-standing Drive-in theater building in the spring of 2010 and removed its indoor Eli Bridge Scrambler ""Shake Rattle and Roll"" in the fall of that year. Also, the park's former Freefall attraction, a first-generation Intamin freefall tower, was located adjacent to the theater until it was removed after the 2006 season. The park added a construction blog to follow the construction of the roller coaster. In December 2010, Six Flags Over Georgia released a CGI video of Dare Devil Dive, showcasing the ride's layout and theming.The ride officially opened to the public on May 28, 2011, with soft opening for Season Passholders held the day prior. It was the second Gerstlauer Euro-Fighter to open in the Southeastern United States, with the first one being Mystery Mine at Dollywood.Six Flags announced on March 3, 2016, that Dare Devil Dive would be among several rides at various parks that would receive a virtual reality (VR) upgrade. Riders aged 13 and older will have the option to wear Samsung Gear VR headsets, powered by Oculus, to create a 360-degree, 3D experience while riding. The illusion is themed to a fighter jet, where riders fly through a futuristic city as co-pilots battling alien invaders. The feature debuted with the coaster when the park opened for the 2016 season on March 12, 2016.  Children 12 or younger will not be able to wear the headsets, and will have to ride Dare Devil Dive normally.
The next season, the VR was removed.",,3,4 trains with a single car. Riders are arranged 2 across in 3 rows for a total of 6 riders per train.,,,
DC Rivals HyperCoaster,Warner Bros. Movie World,Steel,Sit Down,Operating,2017,Gold Coast,Queensland,Australia,Mack Rides,"1,400.0 m (4,593.2 ft)",61.6 m (202 ft),115.1 km/h (71.5 mph),0,"['Chain Lift Hill', 'Non Inverting Loop']",[],,,4.3,,,,,,,,59.4 m (195 ft),2017,Warner Bros. Movie World,,Steel,Mack Rides,,Hyper Coaster,,Chain,61.6 m (202 ft),59.4 m (195 ft),"1,400.0 m (4,593.2 ft)",115.1 km/h (71.5 mph),,,960 riders per hour,4.3,DC Rivals HyperCoaster,"In September 2016, crates from Mack Rides began to appear on groundwork that was ongoing in the park. In March 2017, construction blueprints were published about the roller coasters layout and station, and construction began in April. In late-May 2017, the park sent out email teasers to its guests indicating a new ride was going to be announced with varying quotes alongside a 3D rendered track. In the forthcoming weeks on 4 June 2017, the park formally announced the roller coaster as 'DC Rivals HyperCoaster' which was initially scheduled to be opened in October 2017 and would be themed to the DC Universe.In July 2017, it was reported that the ride cost the park A$30 million to build. On 4 August 2017, the final piece of track was put into place, with testing beginning later on 19 August. On 11 September 2017, Warner Bros. Movie World launched advertisements for the ride, one in the form of an online website about the ride's statistics and another in the form of a television advertisement centred around characters from the DC Universe. Around this time, it was initially detailed by the Gold Coast Bulletin that the ride would be formally launched on 21 September 2017 during a VIP event. On 16 September 2017, the ride soft-opened to the public for technical rehearsals, and officially opened on 22 September 2017.Shortly thereafter, in October 2017 Warner Bros. Movie World reported that the ride had made 6.9 million impressions through media coverage and 9.3 million impressions through social media. In addition, the opening day brought in 11,500 visitors to the park as a whole. During annual maintenance of the roller coaster in August 2018, the track was replaced on the camelback element to make the ride smoother.",,0,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,,
Decepticoaster,Universal Studios Beijing,Steel – Launched,Sit Down,Operating,2021,Tongzhou,Beijing,China,Bolliger & Mabillard,"3,700 ft (1,100 m)",110 ft (34 m),67 mph (108 km/h),7,"['Tire Propelled Launch', 'Zero-G Roll', 'Cobra Roll', 'Loop', 'Corkscrew', 'Loop', 'Block Brake', 'Corkscrew']",[],,2:15,4,,,,,,,,104.9 ft (32.0 m),2021,Universal Studios Beijing,Transformers: Metrobase,Steel – Launched,Bolliger & Mabillard,Werner Stengel,Sitting Coaster – Custom,,Tire Propelled Launch,110 ft (34 m),104.9 ft (32.0 m),"3,700 ft (1,100 m)",67 mph (108 km/h),2:15,,,4,Decepticoaster,"On 13 October 2014, Universal Parks & Resorts CEO Thomas L. Williams announced a deal to construct a Universal Studios park in Beijing, with the park's attractions yet to be announced. In October 2020, Universal Parks & Resorts posted a video which detailed most of Universal Studios Beijing's attractions. The video confirmed the addition of the Decepticoaster, similar to The Incredible Hulk Coaster at Universal's Islands of Adventure. The roller coaster opened to the public on 20 September 2021 with the park.",,7,,,,
Derby Racer,Revere Beach,Wood – Racing,Sit Down,Removed,1911,Revere,Massachusetts,United States,Fred W. Pearce,,,,0,,[],,,,,,,,,,,,1911,Revere Beach,,Wood – Racing,Fred W. Pearce,,,Figure Eight,,,,,,,,,,Derby Racer,History section not found,1936,0,,,,
Derby Racer,Revere Beach,Wood – Racing,Sit Down,Removed,1937,Revere,Massachusetts,United States,Fred W. Pearce,,,,0,,[],,,,,,,,,,,,1937,Revere Beach,,Wood – Racing,Fred W. Pearce,,,Figure Eight,,,,,,,,,,Derby Racer,History section not found,1936,0,,,,
Derby Racer,Revere Beach,Wood – Racing,Sit Down,Removed,1911,Revere,Massachusetts,United States,Fred W. Pearce,,,,0,,[],,,,,,,,,,,,1911,Revere Beach,,Wood – Racing,Fred W. Pearce,,,Figure Eight,,,,,,,,,,Derby Racer,History section not found,1936,0,,,,
Derby Racer,Revere Beach,Wood – Racing,Sit Down,Removed,1937,Revere,Massachusetts,United States,Fred W. Pearce,,,,0,,[],,,,,,,,,,,,1937,Revere Beach,,Wood – Racing,Fred W. Pearce,,,Figure Eight,,,,,,,,,,Derby Racer,History section not found,1936,0,,,,
Diavlo,Himeji Central Park,Steel – Inverted,Inverted,Operating,1994,Himeji,Hyōgo,Japan,Bolliger & Mabillard,"2,606 ft (794 m)",108.25 ft (32.99 m),48.5 mph (78.1 km/h),5,"['Chain Lift Hill', 'Loop', 'Zero-G Roll', 'Loop', 'Wing Over', 'Wing Over']",[],,1:48,,,,,,,,,,1994,Himeji Central Park,,Steel – Inverted,Bolliger & Mabillard,Werner Stengel,Inverted Coaster - Batman,,Chain lift hill,108.25 ft (32.99 m),,"2,606 ft (794 m)",48.5 mph (78.1 km/h),1:48,,,,Diavlo,History section not found,,5,,,,
Dinoconda,China Dinosaurs Park,Steel – 4th Dimension,Wing,Operating,2012,Changzhou,Jiangsu,China,S&S – Sansei Technologies,"3,444.9 ft (1,050.0 m)",226.4 ft (69.0 m),78.3 mph (126.0 km/h),3,"['Chain Lift Hill', 'Inside Raven Turn', 'Zero-G Roll', 'Fly To Lie', 'Outside Raven Turn', 'Fly To Lie']",[],,,,,,,,,,,,2012,China Dinosaurs Park,,Steel – 4th Dimension,S&S – Sansei Technologies,,4th Dimension Coaster,,,226.4 ft (69.0 m),,"3,444.9 ft (1,050.0 m)",78.3 mph (126.0 km/h),,,,,Dinoconda,History section not found,,3,6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,,,
